0x680, Time,74, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0
0x251, Time,7514, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7534, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7554, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7574, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7701, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7714, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7734, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7754, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7774, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7794, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7814, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7834, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7854, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7874, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7894, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7914, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8044, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8054, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8074, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8094, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8114, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8134, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8154, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8174, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8194, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8214, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8234, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8254, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8274, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8413, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8433, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8453, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8473, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8493, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8513, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8533, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8553, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8573, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8593, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8613, Controller Temp,360, Motor Temp,389, Fault Code,2
